Occupation,M_workers,F_workers,All_workers,Male Percentage,Female Percentage
Industrial truck and tractor operators,541,37,578,93.59861592,6.401384083
Cleaners of vehicles and equipment,200,22,222,90.09009009,9.90990991
"Laborers and freight, stock, and material movers, hand",1214,219,1433,84.71737613,15.28262387
Machine feeders and offbearers,21,9,30,70,30
"Packers and packagers, hand",158,227,385,41.03896104,58.96103896
Pumping station operators,17,1,18,94.44444444,5.555555556
Refuse and recyclable material collectors,66,6,72,91.66666667,8.333333333
Mine shuttle car operators,0,0,0,#DIV/0!,#DIV/0!
"Tank car, truck, and ship loaders",6,0,6,100,0
"Material moving workers, all other",32,5,37,86.48648649,13.51351351
